[2024-12-06T20:34:22.533+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T20:34:22.688+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: homework_dag.download_dataset scheduled__2021-03-05T06:00:00+00:00 [queued]>
[2024-12-06T20:34:22.788+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: homework_dag.download_dataset scheduled__2021-03-05T06:00:00+00:00 [queued]>
[2024-12-06T20:34:22.827+0000] {taskinstance.py:2866} INFO - Starting attempt 6 of 6
[2024-12-06T20:34:22.973+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): download_dataset> on 2021-03-05 06:00:00+00:00
[2024-12-06T20:34:23.400+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=4445) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T20:34:23.763+0000] {standard_task_runner.py:72} INFO - Started process 4454 to run task
[2024-12-06T20:34:23.770+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'homework_dag', 'download_dataset', 'scheduled__2021-03-05T06:00:00+00:00', '--job-id', '124', '--raw', '--subdir', 'DAGS_FOLDER/homework_dag.py', '--cfg-path', '/tmp/tmpcsqlg1r6']
[2024-12-06T20:34:23.935+0000] {standard_task_runner.py:105} INFO - Job 124: Subtask download_dataset
[2024-12-06T20:34:24.314+0000] {task_command.py:467} INFO - Running <TaskInstance: homework_dag.download_dataset scheduled__2021-03-05T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T20:34:25.515+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... .......... 10% 78.5M 3s
[2024-12-06T20:34:25.515+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... .......... 11% 60.0M 3s
[2024-12-06T20:34:25.515+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... .......... 11%  152M 3s
[2024-12-06T20:34:25.516+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... .......... 12%  116M 3s
[2024-12-06T20:34:25.516+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... .......... 12%  175M 3s
[2024-12-06T20:34:25.516+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... .......... 12%  117M 3s
[2024-12-06T20:34:25.516+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... .......... 13%  175M 3s
[2024-12-06T20:34:25.543+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... .......... 13% 1.52M 3s
[2024-12-06T20:34:25.544+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... .......... 13%  137M 3s
[2024-12-06T20:34:25.544+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... .......... 14% 76.3M 3s
[2024-12-06T20:34:25.545+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... .......... 14%  225M 3s
[2024-12-06T20:34:25.545+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... .......... 15%  207M 3s
[2024-12-06T20:34:25.546+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... .......... 15%  210M 2s
[2024-12-06T20:34:25.546+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... .......... 15%  137M 2s
[2024-12-06T20:34:25.546+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... .......... 16%  113M 2s
[2024-12-06T20:34:25.547+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... .......... 16%  193M 2s
[2024-12-06T20:34:25.567+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... .......... 17% 2.26M 2s
[2024-12-06T20:34:25.570+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... .......... 17% 22.1M 2s
[2024-12-06T20:34:25.574+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... .......... 17% 43.8M 2s
[2024-12-06T20:34:25.576+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... .......... 18%  163M 2s
[2024-12-06T20:34:25.577+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... .......... 18% 71.8M 2s
[2024-12-06T20:34:25.577+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... .......... 19% 70.5M 2s
[2024-12-06T20:34:25.577+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... .......... 19% 61.3M 2s
[2024-12-06T20:34:25.579+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... .......... 19%  156M 2s
[2024-12-06T20:34:25.579+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... .......... 20%  182M 2s
[2024-12-06T20:34:25.580+0000] {subprocess.py:106} INFO -   2600K .......... .......... .......... .......... .......... 20%  236M 2s
[2024-12-06T20:34:25.580+0000] {subprocess.py:106} INFO -   2650K .......... .......... .......... .......... .......... 20% 10.1M 2s
[2024-12-06T20:34:25.591+0000] {subprocess.py:106} INFO -   2700K .......... .......... .......... .......... .......... 21% 4.07M 2s
[2024-12-06T20:34:25.591+0000] {subprocess.py:106} INFO -   2750K .......... .......... .......... .......... .......... 21%  137M 2s
[2024-12-06T20:34:25.605+0000] {subprocess.py:106} INFO -   2800K .......... .......... .......... .......... .......... 22% 3.61M 2s
[2024-12-06T20:34:25.606+0000] {subprocess.py:106} INFO -   2850K .......... .......... .......... .......... .......... 22% 36.0M 2s
[2024-12-06T20:34:25.606+0000] {subprocess.py:106} INFO -   2900K .......... .......... .......... .......... .......... 22%  100M 2s
[2024-12-06T20:34:25.607+0000] {subprocess.py:106} INFO -   2950K .......... .......... .......... .......... .......... 23% 71.0M 2s
[2024-12-06T20:34:25.609+0000] {subprocess.py:106} INFO -   3000K .......... .......... .......... .......... .......... 23% 29.7M 2s
[2024-12-06T20:34:25.610+0000] {subprocess.py:106} INFO -   3050K .......... .......... .......... .......... .......... 24% 64.4M 2s
[2024-12-06T20:34:25.612+0000] {subprocess.py:106} INFO -   3100K .......... .......... .......... .......... .......... 24% 18.8M 2s
[2024-12-06T20:34:25.616+0000] {subprocess.py:106} INFO -   3150K .......... .......... .......... .......... .......... 24% 11.4M 2s
[2024-12-06T20:34:25.618+0000] {subprocess.py:106} INFO -   3200K .......... .......... .......... .......... .......... 25% 43.7M 2s
[2024-12-06T20:34:25.644+0000] {subprocess.py:106} INFO -   3250K .......... .......... .......... .......... .......... 25% 1.88M 2s
[2024-12-06T20:34:25.649+0000] {subprocess.py:106} INFO -   3300K .......... .......... .......... .......... .......... 26% 38.2M 2s
[2024-12-06T20:34:25.657+0000] {subprocess.py:106} INFO -   3350K .......... .......... .......... .......... .......... 26% 3.95M 2s
[2024-12-06T20:34:25.668+0000] {subprocess.py:106} INFO -   3400K .......... .......... .......... .......... .......... 26% 5.02M 2s
[2024-12-06T20:34:25.674+0000] {subprocess.py:106} INFO -   3450K .......... .......... .......... .......... .......... 27%  138M 2s
[2024-12-06T20:34:25.678+0000] {subprocess.py:106} INFO -   3500K .......... .......... .......... .......... .......... 27%  128M 2s
[2024-12-06T20:34:25.681+0000] {subprocess.py:106} INFO -   3550K .......... .......... .......... .......... .......... 27% 85.0M 1s
[2024-12-06T20:34:25.682+0000] {subprocess.py:106} INFO -   3600K .......... .......... .......... .......... .......... 28%  145M 1s
[2024-12-06T20:34:25.684+0000] {subprocess.py:106} INFO -   3650K .......... .......... .......... .......... .......... 28% 5.24M 1s
[2024-12-06T20:34:25.686+0000] {subprocess.py:106} INFO -   3700K .......... .......... .......... .......... .......... 29% 11.4M 1s
[2024-12-06T20:34:25.689+0000] {subprocess.py:106} INFO -   3750K .......... .......... .......... .......... .......... 29% 26.4M 1s
[2024-12-06T20:34:25.691+0000] {subprocess.py:106} INFO -   3800K .......... .......... .......... .......... .......... 29% 28.7M 1s
[2024-12-06T20:34:25.694+0000] {subprocess.py:106} INFO -   3850K .......... .......... .......... .......... .......... 30% 35.8M 1s
[2024-12-06T20:34:25.695+0000] {subprocess.py:106} INFO -   3900K .......... .......... .......... .......... .......... 30%  149M 1s
[2024-12-06T20:34:25.700+0000] {subprocess.py:106} INFO -   3950K .......... .......... .......... .......... .......... 31% 66.1M 1s
[2024-12-06T20:34:25.701+0000] {subprocess.py:106} INFO -   4000K .......... .......... .......... .......... .......... 31% 77.6M 1s
[2024-12-06T20:34:25.704+0000] {subprocess.py:106} INFO -   4050K .......... .......... .......... .......... .......... 31% 62.3M 1s
[2024-12-06T20:34:25.707+0000] {subprocess.py:106} INFO -   4100K .......... .......... .......... .......... .......... 32% 27.8M 1s
[2024-12-06T20:34:25.707+0000] {subprocess.py:106} INFO -   4150K .......... .......... .......... .......... .......... 32%  251M 1s
[2024-12-06T20:34:25.709+0000] {subprocess.py:106} INFO -   4200K .......... .......... .......... .......... .......... 33% 34.0M 1s
[2024-12-06T20:34:25.711+0000] {subprocess.py:106} INFO -   4250K .......... .......... .......... .......... .......... 33% 67.8M 1s
[2024-12-06T20:34:25.714+0000] {subprocess.py:106} INFO -   4300K .......... .......... .......... .......... .......... 33% 25.4M 1s
[2024-12-06T20:34:25.719+0000] {subprocess.py:106} INFO -   4350K .......... .......... .......... .......... .......... 34% 22.9M 1s
[2024-12-06T20:34:25.723+0000] {subprocess.py:106} INFO -   4400K .......... .......... .......... .......... .......... 34% 26.2M 1s
[2024-12-06T20:34:25.725+0000] {subprocess.py:106} INFO -   4450K .......... .......... .......... .......... .......... 34% 7.75M 1s
[2024-12-06T20:34:25.727+0000] {subprocess.py:106} INFO -   4500K .......... .......... .......... .......... .......... 35% 2.60M 1s
[2024-12-06T20:34:25.739+0000] {subprocess.py:106} INFO -   4550K .......... .......... .......... .......... .......... 35% 4.02M 1s
[2024-12-06T20:34:25.744+0000] {subprocess.py:106} INFO -   4600K .......... .......... .......... .......... .......... 36% 9.93M 1s
[2024-12-06T20:34:25.746+0000] {subprocess.py:106} INFO -   4650K .......... .......... .......... .......... .......... 36% 19.0M 1s
[2024-12-06T20:34:25.749+0000] {subprocess.py:106} INFO -   4700K .......... .......... .......... .......... .......... 36%  173M 1s
[2024-12-06T20:34:25.749+0000] {subprocess.py:106} INFO -   4750K .......... .......... .......... .......... .......... 37%  252M 1s
[2024-12-06T20:34:25.750+0000] {subprocess.py:106} INFO -   4800K .......... .......... .......... .......... .......... 37% 46.3M 1s
[2024-12-06T20:34:25.750+0000] {subprocess.py:106} INFO -   4850K .......... .......... .......... .......... .......... 38%  267M 1s
[2024-12-06T20:34:25.755+0000] {subprocess.py:106} INFO -   4900K .......... .......... .......... .......... .......... 38%  248M 1s
[2024-12-06T20:34:25.756+0000] {subprocess.py:106} INFO -   4950K .......... .......... .......... .......... .......... 38% 51.4M 1s
[2024-12-06T20:34:25.756+0000] {subprocess.py:106} INFO -   5000K .......... .......... .......... .......... .......... 39% 41.7M 1s
[2024-12-06T20:34:25.757+0000] {subprocess.py:106} INFO -   5050K .......... .......... .......... .......... .......... 39% 79.2M 1s
[2024-12-06T20:34:25.757+0000] {subprocess.py:106} INFO -   5100K .......... .......... .......... .......... .......... 40% 39.1M 1s
[2024-12-06T20:34:25.758+0000] {subprocess.py:106} INFO -   5150K .......... .......... .......... .......... .......... 40% 19.8M 1s
[2024-12-06T20:34:25.758+0000] {subprocess.py:106} INFO -   5200K .......... .......... .......... .......... .......... 40% 13.0M 1s
[2024-12-06T20:34:25.761+0000] {subprocess.py:106} INFO -   5250K .......... .......... .......... .......... .......... 41% 11.2M 1s
[2024-12-06T20:34:25.765+0000] {subprocess.py:106} INFO -   5300K .......... .......... .......... .......... .......... 41% 11.8M 1s
[2024-12-06T20:34:25.767+0000] {subprocess.py:106} INFO -   5350K .......... .......... .......... .......... .......... 41% 22.2M 1s
[2024-12-06T20:34:25.770+0000] {subprocess.py:106} INFO -   5400K .......... .......... .......... .......... .......... 42% 14.8M 1s
[2024-12-06T20:34:25.774+0000] {subprocess.py:106} INFO -   5450K .......... .......... .......... .......... .......... 42% 13.7M 1s
[2024-12-06T20:34:25.777+0000] {subprocess.py:106} INFO -   5500K .......... .......... .......... .......... .......... 43% 17.0M 1s
[2024-12-06T20:34:25.781+0000] {subprocess.py:106} INFO -   5550K .......... .......... .......... .......... .......... 43% 13.1M 1s
[2024-12-06T20:34:25.784+0000] {subprocess.py:106} INFO -   5600K .......... .......... .......... .......... .......... 43% 14.1M 1s
[2024-12-06T20:34:25.788+0000] {subprocess.py:106} INFO -   5650K .......... .......... .......... .......... .......... 44% 13.7M 1s
[2024-12-06T20:34:25.791+0000] {subprocess.py:106} INFO -   5700K .......... .......... .......... .......... .......... 44% 13.6M 1s
[2024-12-06T20:34:25.795+0000] {subprocess.py:106} INFO -   5750K .......... .......... .......... .......... .......... 45% 13.2M 1s
[2024-12-06T20:34:25.798+0000] {subprocess.py:106} INFO -   5800K .......... .......... .......... .......... .......... 45% 14.4M 1s
[2024-12-06T20:34:25.801+0000] {subprocess.py:106} INFO -   5850K .......... .......... .......... .......... .......... 45% 17.6M 1s
[2024-12-06T20:34:25.805+0000] {subprocess.py:106} INFO -   5900K .......... .......... .......... .......... .......... 46% 13.1M 1s
[2024-12-06T20:34:25.809+0000] {subprocess.py:106} INFO -   5950K .......... .......... .......... .......... .......... 46% 11.4M 1s
[2024-12-06T20:34:25.813+0000] {subprocess.py:106} INFO -   6000K .......... .......... .......... .......... .......... 47% 12.3M 1s
[2024-12-06T20:34:25.817+0000] {subprocess.py:106} INFO -   6050K .......... .......... .......... .......... .......... 47% 14.1M 1s
[2024-12-06T20:34:25.820+0000] {subprocess.py:106} INFO -   6100K .......... .......... .......... .......... .......... 47% 14.2M 1s
[2024-12-06T20:34:25.825+0000] {subprocess.py:106} INFO -   6150K .......... .......... .......... .......... .......... 48% 8.98M 1s
[2024-12-06T20:34:25.828+0000] {subprocess.py:106} INFO -   6200K .......... .......... .......... .......... .......... 48% 32.0M 1s
[2024-12-06T20:34:25.830+0000] {subprocess.py:106} INFO -   6250K .......... .......... .......... .......... .......... 48% 17.9M 1s
[2024-12-06T20:34:25.834+0000] {subprocess.py:106} INFO -   6300K .......... .......... .......... .......... .......... 49% 12.6M 1s
[2024-12-06T20:34:25.838+0000] {subprocess.py:106} INFO -   6350K .......... .......... .......... .......... .......... 49% 11.4M 1s
[2024-12-06T20:34:25.841+0000] {subprocess.py:106} INFO -   6400K .......... .......... .......... .......... .......... 50% 14.3M 1s
[2024-12-06T20:34:25.846+0000] {subprocess.py:106} INFO -   6450K .......... .......... .......... .......... .......... 50% 13.1M 1s
[2024-12-06T20:34:25.849+0000] {subprocess.py:106} INFO -   6500K .......... .......... .......... .......... .......... 50% 13.7M 1s
[2024-12-06T20:34:25.854+0000] {subprocess.py:106} INFO -   6550K .......... .......... .......... .......... .......... 51% 13.6M 1s
[2024-12-06T20:34:25.857+0000] {subprocess.py:106} INFO -   6600K .......... .......... .......... .......... .......... 51% 17.9M 1s
[2024-12-06T20:34:25.858+0000] {subprocess.py:106} INFO -   6650K .......... .......... .......... .......... .......... 52% 14.0M 1s
[2024-12-06T20:34:25.862+0000] {subprocess.py:106} INFO -   6700K .......... .......... .......... .......... .......... 52% 13.1M 1s
[2024-12-06T20:34:25.866+0000] {subprocess.py:106} INFO -   6750K .......... .......... .......... .......... .......... 52% 11.1M 1s
[2024-12-06T20:34:25.870+0000] {subprocess.py:106} INFO -   6800K .......... .......... .......... .......... .......... 53% 13.8M 1s
[2024-12-06T20:34:25.874+0000] {subprocess.py:106} INFO -   6850K .......... .......... .......... .......... .......... 53% 13.6M 1s
[2024-12-06T20:34:25.877+0000] {subprocess.py:106} INFO -   6900K .......... .......... .......... .......... .......... 54% 13.4M 1s
[2024-12-06T20:34:25.883+0000] {subprocess.py:106} INFO -   6950K .......... .......... .......... .......... .......... 54% 12.8M 1s
[2024-12-06T20:34:25.887+0000] {subprocess.py:106} INFO -   7000K .......... .......... .......... .......... .......... 54% 20.4M 1s
[2024-12-06T20:34:25.888+0000] {subprocess.py:106} INFO -   7050K .......... .......... .......... .......... .......... 55% 13.5M 1s
[2024-12-06T20:34:25.891+0000] {subprocess.py:106} INFO -   7100K .......... .......... .......... .......... .......... 55% 12.4M 1s
[2024-12-06T20:34:25.895+0000] {subprocess.py:106} INFO -   7150K .......... .......... .......... .......... .......... 55% 12.1M 1s
[2024-12-06T20:34:25.899+0000] {subprocess.py:106} INFO -   7200K .......... .......... .......... .......... .......... 56% 13.2M 1s
[2024-12-06T20:34:25.903+0000] {subprocess.py:106} INFO -   7250K .......... .......... .......... .......... .......... 56% 13.6M 1s
[2024-12-06T20:34:25.906+0000] {subprocess.py:106} INFO -   7300K .......... .......... .......... .......... .......... 57% 14.1M 1s
[2024-12-06T20:34:25.909+0000] {subprocess.py:106} INFO -   7350K .......... .......... .......... .......... .......... 57% 16.9M 1s
[2024-12-06T20:34:25.912+0000] {subprocess.py:106} INFO -   7400K .......... .......... .......... .......... .......... 57% 13.7M 1s
[2024-12-06T20:34:25.920+0000] {subprocess.py:106} INFO -   7450K .......... .......... .......... .......... .......... 58% 6.54M 1s
[2024-12-06T20:34:25.923+0000] {subprocess.py:106} INFO -   7500K .......... .......... .......... .......... .......... 58% 86.6M 1s
[2024-12-06T20:34:25.924+0000] {subprocess.py:106} INFO -   7550K .......... .......... .......... .......... .......... 59% 14.0M 1s
[2024-12-06T20:34:25.927+0000] {subprocess.py:106} INFO -   7600K .......... .......... .......... .......... .......... 59% 13.4M 1s
[2024-12-06T20:34:25.931+0000] {subprocess.py:106} INFO -   7650K .......... .......... .......... .......... .......... 59% 13.5M 1s
[2024-12-06T20:34:25.934+0000] {subprocess.py:106} INFO -   7700K .......... .......... .......... .......... .......... 60% 14.0M 1s
[2024-12-06T20:34:25.937+0000] {subprocess.py:106} INFO -   7750K .......... .......... .......... .......... .......... 60% 17.7M 1s
[2024-12-06T20:34:25.941+0000] {subprocess.py:106} INFO -   7800K .......... .......... .......... .......... .......... 61% 13.9M 1s
[2024-12-06T20:34:25.944+0000] {subprocess.py:106} INFO -   7850K .......... .......... .......... .......... .......... 61% 13.7M 1s
[2024-12-06T20:34:25.948+0000] {subprocess.py:106} INFO -   7900K .......... .......... .......... .......... .......... 61% 12.6M 1s
[2024-12-06T20:34:25.952+0000] {subprocess.py:106} INFO -   7950K .......... .......... .......... .......... .......... 62% 11.6M 1s
[2024-12-06T20:34:25.956+0000] {subprocess.py:106} INFO -   8000K .......... .......... .......... .......... .......... 62% 13.4M 1s
[2024-12-06T20:34:25.964+0000] {subprocess.py:106} INFO -   8050K .......... .......... .......... .......... .......... 62% 9.17M 1s
[2024-12-06T20:34:25.967+0000] {subprocess.py:106} INFO -   8100K .......... .......... .......... .......... .......... 63% 10.9M 1s
[2024-12-06T20:34:25.968+0000] {subprocess.py:106} INFO -   8150K .......... .......... .......... .......... .......... 63% 32.2M 0s
[2024-12-06T20:34:25.972+0000] {subprocess.py:106} INFO -   8200K .......... .......... .......... .......... .......... 64% 22.0M 0s
[2024-12-06T20:34:25.974+0000] {subprocess.py:106} INFO -   8250K .......... .......... .......... .......... .......... 64% 10.4M 0s
[2024-12-06T20:34:25.977+0000] {subprocess.py:106} INFO -   8300K .......... .......... .......... .......... .......... 64% 18.4M 0s
[2024-12-06T20:34:25.981+0000] {subprocess.py:106} INFO -   8350K .......... .......... .......... .......... .......... 65% 11.6M 0s
[2024-12-06T20:34:25.985+0000] {subprocess.py:106} INFO -   8400K .......... .......... .......... .......... .......... 65% 12.9M 0s
[2024-12-06T20:34:25.988+0000] {subprocess.py:106} INFO -   8450K .......... .......... .......... .......... .......... 66% 13.6M 0s
[2024-12-06T20:34:25.991+0000] {subprocess.py:106} INFO -   8500K .......... .......... .......... .......... .......... 66% 20.9M 0s
[2024-12-06T20:34:25.995+0000] {subprocess.py:106} INFO -   8550K .......... .......... .......... .......... .......... 66% 13.1M 0s
[2024-12-06T20:34:25.998+0000] {subprocess.py:106} INFO -   8600K .......... .......... .......... .......... .......... 67% 14.2M 0s
[2024-12-06T20:34:26.002+0000] {subprocess.py:106} INFO -   8650K .......... .......... .......... .......... .......... 67% 13.2M 0s
[2024-12-06T20:34:26.005+0000] {subprocess.py:106} INFO -   8700K .......... .......... .......... .......... .......... 68% 13.3M 0s
[2024-12-06T20:34:26.010+0000] {subprocess.py:106} INFO -   8750K .......... .......... .......... .......... .......... 68% 11.3M 0s
[2024-12-06T20:34:26.013+0000] {subprocess.py:106} INFO -   8800K .......... .......... .......... .......... .......... 68% 13.8M 0s
