[2024-12-06T20:34:22.442+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T20:34:22.541+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: homework_dag.download_dataset scheduled__2021-02-05T06:00:00+00:00 [queued]>
[2024-12-06T20:34:22.595+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: homework_dag.download_dataset scheduled__2021-02-05T06:00:00+00:00 [queued]>
[2024-12-06T20:34:22.603+0000] {taskinstance.py:2866} INFO - Starting attempt 6 of 6
[2024-12-06T20:34:22.888+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): download_dataset> on 2021-02-05 06:00:00+00:00
[2024-12-06T20:34:22.951+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=4447) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T20:34:22.981+0000] {standard_task_runner.py:72} INFO - Started process 4452 to run task
[2024-12-06T20:34:23.273+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'homework_dag', 'download_dataset', 'scheduled__2021-02-05T06:00:00+00:00', '--job-id', '122', '--raw', '--subdir', 'DAGS_FOLDER/homework_dag.py', '--cfg-path', '/tmp/tmpxn_t32db']
[2024-12-06T20:34:23.976+0000] {standard_task_runner.py:105} INFO - Job 122: Subtask download_dataset
[2024-12-06T20:34:24.341+0000] {task_command.py:467} INFO - Running <TaskInstance: homework_dag.download_dataset scheduled__2021-02-05T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T20:34:25.433+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... .......... 15% 51.6M 2s
[2024-12-06T20:34:25.433+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... .......... 15% 76.3M 2s
[2024-12-06T20:34:25.434+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... .......... 16% 44.4M 2s
[2024-12-06T20:34:25.439+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... .......... 16% 50.4M 2s
[2024-12-06T20:34:25.439+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... .......... 17% 26.2M 2s
[2024-12-06T20:34:25.497+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... .......... 17% 1.01M 2s
[2024-12-06T20:34:25.499+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... .......... 18% 3.98M 2s
[2024-12-06T20:34:25.499+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... .......... 18% 84.4M 2s
[2024-12-06T20:34:25.499+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... .......... 19%  258M 2s
[2024-12-06T20:34:25.500+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... .......... 19%  116M 2s
[2024-12-06T20:34:25.500+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... .......... 20%  200M 2s
[2024-12-06T20:34:25.500+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... .......... 20%  285M 2s
[2024-12-06T20:34:25.501+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... .......... 21%  279M 2s
[2024-12-06T20:34:25.501+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... .......... 21%  237M 2s
[2024-12-06T20:34:25.507+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... .......... 22%  304M 2s
[2024-12-06T20:34:25.511+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... .......... 22%  300M 1s
[2024-12-06T20:34:25.514+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... .......... 23%  255M 1s
[2024-12-06T20:34:25.515+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... .......... 23%  280M 1s
[2024-12-06T20:34:25.515+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... .......... 24%  330M 1s
[2024-12-06T20:34:25.515+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... .......... 24%  205M 1s
[2024-12-06T20:34:25.516+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... .......... 25%  184M 1s
[2024-12-06T20:34:25.516+0000] {subprocess.py:106} INFO -   2600K .......... .......... .......... .......... .......... 25%  309M 1s
[2024-12-06T20:34:25.516+0000] {subprocess.py:106} INFO -   2650K .......... .......... .......... .......... .......... 25%  267M 1s
[2024-12-06T20:34:25.516+0000] {subprocess.py:106} INFO -   2700K .......... .......... .......... .......... .......... 26%  234M 1s
[2024-12-06T20:34:25.516+0000] {subprocess.py:106} INFO -   2750K .......... .......... .......... .......... .......... 26%  288M 1s
[2024-12-06T20:34:25.517+0000] {subprocess.py:106} INFO -   2800K .......... .......... .......... .......... .......... 27%  259M 1s
[2024-12-06T20:34:25.517+0000] {subprocess.py:106} INFO -   2850K .......... .......... .......... .......... .......... 27%  208M 1s
[2024-12-06T20:34:25.536+0000] {subprocess.py:106} INFO -   2900K .......... .......... .......... .......... .......... 28% 1.44M 1s
[2024-12-06T20:34:25.539+0000] {subprocess.py:106} INFO -   2950K .......... .......... .......... .......... .......... 28% 66.9M 1s
[2024-12-06T20:34:25.539+0000] {subprocess.py:106} INFO -   3000K .......... .......... .......... .......... .......... 29%  178M 1s
[2024-12-06T20:34:25.539+0000] {subprocess.py:106} INFO -   3050K .......... .......... .......... .......... .......... 29%  328M 1s
[2024-12-06T20:34:25.540+0000] {subprocess.py:106} INFO -   3100K .......... .......... .......... .......... .......... 30% 78.5M 1s
[2024-12-06T20:34:25.540+0000] {subprocess.py:106} INFO -   3150K .......... .......... .......... .......... .......... 30%  170M 1s
[2024-12-06T20:34:25.540+0000] {subprocess.py:106} INFO -   3200K .......... .......... .......... .......... .......... 31%  290M 1s
[2024-12-06T20:34:25.540+0000] {subprocess.py:106} INFO -   3250K .......... .......... .......... .......... .......... 31%  189M 1s
[2024-12-06T20:34:25.541+0000] {subprocess.py:106} INFO -   3300K .......... .......... .......... .......... .......... 32%  221M 1s
[2024-12-06T20:34:25.541+0000] {subprocess.py:106} INFO -   3350K .......... .......... .......... .......... .......... 32%  249M 1s
[2024-12-06T20:34:25.541+0000] {subprocess.py:106} INFO -   3400K .......... .......... .......... .......... .......... 33%  314M 1s
[2024-12-06T20:34:25.541+0000] {subprocess.py:106} INFO -   3450K .......... .......... .......... .......... .......... 33%  177M 1s
[2024-12-06T20:34:25.541+0000] {subprocess.py:106} INFO -   3500K .......... .......... .......... .......... .......... 34%  216M 1s
[2024-12-06T20:34:25.542+0000] {subprocess.py:106} INFO -   3550K .......... .......... .......... .......... .......... 34%  292M 1s
[2024-12-06T20:34:25.542+0000] {subprocess.py:106} INFO -   3600K .......... .......... .......... .......... .......... 35%  113M 1s
[2024-12-06T20:34:25.545+0000] {subprocess.py:106} INFO -   3650K .......... .......... .......... .......... .......... 35% 11.4M 1s
[2024-12-06T20:34:25.557+0000] {subprocess.py:106} INFO -   3700K .......... .......... .......... .......... .......... 36% 3.87M 1s
[2024-12-06T20:34:25.559+0000] {subprocess.py:106} INFO -   3750K .......... .......... .......... .......... .......... 36%  202M 1s
[2024-12-06T20:34:25.560+0000] {subprocess.py:106} INFO -   3800K .......... .......... .......... .......... .......... 37%  200M 1s
[2024-12-06T20:34:25.561+0000] {subprocess.py:106} INFO -   3850K .......... .......... .......... .......... .......... 37%  306M 1s
[2024-12-06T20:34:25.561+0000] {subprocess.py:106} INFO -   3900K .......... .......... .......... .......... .......... 37% 93.3M 1s
[2024-12-06T20:34:25.562+0000] {subprocess.py:106} INFO -   3950K .......... .......... .......... .......... .......... 38%  243M 1s
[2024-12-06T20:34:25.564+0000] {subprocess.py:106} INFO -   4000K .......... .......... .......... .......... .......... 38%  191M 1s
[2024-12-06T20:34:25.566+0000] {subprocess.py:106} INFO -   4050K .......... .......... .......... .......... .......... 39%  248M 1s
[2024-12-06T20:34:25.568+0000] {subprocess.py:106} INFO -   4100K .......... .......... .......... .......... .......... 39%  107M 1s
[2024-12-06T20:34:25.569+0000] {subprocess.py:106} INFO -   4150K .......... .......... .......... .......... .......... 40%  179M 1s
[2024-12-06T20:34:25.569+0000] {subprocess.py:106} INFO -   4200K .......... .......... .......... .......... .......... 40%  114M 1s
[2024-12-06T20:34:25.574+0000] {subprocess.py:106} INFO -   4250K .......... .......... .......... .......... .......... 41%  259M 1s
[2024-12-06T20:34:25.576+0000] {subprocess.py:106} INFO -   4300K .......... .......... .......... .......... .......... 41%  244M 1s
[2024-12-06T20:34:25.577+0000] {subprocess.py:106} INFO -   4350K .......... .......... .......... .......... .......... 42% 10.2M 1s
[2024-12-06T20:34:25.577+0000] {subprocess.py:106} INFO -   4400K .......... .......... .......... .......... .......... 42%  178M 1s
[2024-12-06T20:34:25.577+0000] {subprocess.py:106} INFO -   4450K .......... .......... .......... .......... .......... 43% 71.5M 1s
[2024-12-06T20:34:25.579+0000] {subprocess.py:106} INFO -   4500K .......... .......... .......... .......... .......... 43%  128M 1s
[2024-12-06T20:34:25.579+0000] {subprocess.py:106} INFO -   4550K .......... .......... .......... .......... .......... 44%  323M 1s
[2024-12-06T20:34:25.580+0000] {subprocess.py:106} INFO -   4600K .......... .......... .......... .......... .......... 44% 43.8M 1s
[2024-12-06T20:34:25.580+0000] {subprocess.py:106} INFO -   4650K .......... .......... .......... .......... .......... 45% 43.2M 1s
[2024-12-06T20:34:25.580+0000] {subprocess.py:106} INFO -   4700K .......... .......... .......... .......... .......... 45% 33.7M 1s
[2024-12-06T20:34:25.580+0000] {subprocess.py:106} INFO -   4750K .......... .......... .......... .......... .......... 46% 66.9M 1s
[2024-12-06T20:34:25.580+0000] {subprocess.py:106} INFO -   4800K .......... .......... .......... .......... .......... 46%  124M 1s
[2024-12-06T20:34:25.581+0000] {subprocess.py:106} INFO -   4850K .......... .......... .......... .......... .......... 47%  105M 1s
[2024-12-06T20:34:25.583+0000] {subprocess.py:106} INFO -   4900K .......... .......... .......... .......... .......... 47% 88.3M 1s
[2024-12-06T20:34:25.583+0000] {subprocess.py:106} INFO -   4950K .......... .......... .......... .......... .......... 48%  107M 1s
[2024-12-06T20:34:25.583+0000] {subprocess.py:106} INFO -   5000K .......... .......... .......... .......... .......... 48% 35.7M 1s
[2024-12-06T20:34:25.583+0000] {subprocess.py:106} INFO -   5050K .......... .......... .......... .......... .......... 49%  106M 1s
[2024-12-06T20:34:25.584+0000] {subprocess.py:106} INFO -   5100K .......... .......... .......... .......... .......... 49%  206M 1s
[2024-12-06T20:34:25.584+0000] {subprocess.py:106} INFO -   5150K .......... .......... .......... .......... .......... 50%  164M 1s
[2024-12-06T20:34:25.584+0000] {subprocess.py:106} INFO -   5200K .......... .......... .......... .......... .......... 50%  155M 0s
[2024-12-06T20:34:25.584+0000] {subprocess.py:106} INFO -   5250K .......... .......... .......... .......... .......... 50%  162M 0s
[2024-12-06T20:34:25.585+0000] {subprocess.py:106} INFO -   5300K .......... .......... .......... .......... .......... 51%  147M 0s
[2024-12-06T20:34:25.585+0000] {subprocess.py:106} INFO -   5350K .......... .......... .......... .......... .......... 51%  236M 0s
[2024-12-06T20:34:25.585+0000] {subprocess.py:106} INFO -   5400K .......... .......... .......... .......... .......... 52% 11.0M 0s
[2024-12-06T20:34:25.585+0000] {subprocess.py:106} INFO -   5450K .......... .......... .......... .......... .......... 52%  115M 0s
[2024-12-06T20:34:25.586+0000] {subprocess.py:106} INFO -   5500K .......... .......... .......... .......... .......... 53%  307M 0s
[2024-12-06T20:34:25.586+0000] {subprocess.py:106} INFO -   5550K .......... .......... .......... .......... .......... 53%  265M 0s
[2024-12-06T20:34:25.589+0000] {subprocess.py:106} INFO -   5600K .......... .......... .......... .......... .......... 54% 90.7M 0s
[2024-12-06T20:34:25.595+0000] {subprocess.py:106} INFO -   5650K .......... .......... .......... .......... .......... 54% 3.91M 0s
[2024-12-06T20:34:25.597+0000] {subprocess.py:106} INFO -   5700K .......... .......... .......... .......... .......... 55% 55.0M 0s
[2024-12-06T20:34:25.597+0000] {subprocess.py:106} INFO -   5750K .......... .......... .......... .......... .......... 55% 75.1M 0s
[2024-12-06T20:34:25.597+0000] {subprocess.py:106} INFO -   5800K .......... .......... .......... .......... .......... 56%  236M 0s
[2024-12-06T20:34:25.598+0000] {subprocess.py:106} INFO -   5850K .......... .......... .......... .......... .......... 56%  224M 0s
[2024-12-06T20:34:25.598+0000] {subprocess.py:106} INFO -   5900K .......... .......... .......... .......... .......... 57%  229M 0s
[2024-12-06T20:34:25.598+0000] {subprocess.py:106} INFO -   5950K .......... .......... .......... .......... .......... 57%  300M 0s
[2024-12-06T20:34:25.610+0000] {subprocess.py:106} INFO -   6000K .......... .......... .......... .......... .......... 58% 3.75M 0s
[2024-12-06T20:34:25.612+0000] {subprocess.py:106} INFO -   6050K .......... .......... .......... .......... .......... 58% 32.0M 0s
[2024-12-06T20:34:25.612+0000] {subprocess.py:106} INFO -   6100K .......... .......... .......... .......... .......... 59%  120M 0s
[2024-12-06T20:34:25.631+0000] {subprocess.py:106} INFO -   6150K .......... .......... .......... .......... .......... 59% 2.67M 0s
[2024-12-06T20:34:25.633+0000] {subprocess.py:106} INFO -   6200K .......... .......... .......... .......... .......... 60% 30.1M 0s
[2024-12-06T20:34:25.634+0000] {subprocess.py:106} INFO -   6250K .......... .......... .......... .......... .......... 60% 24.6M 0s
[2024-12-06T20:34:25.636+0000] {subprocess.py:106} INFO -   6300K .......... .......... .......... .......... .......... 61%  173M 0s
[2024-12-06T20:34:25.638+0000] {subprocess.py:106} INFO -   6350K .......... .......... .......... .......... .......... 61% 24.5M 0s
[2024-12-06T20:34:25.641+0000] {subprocess.py:106} INFO -   6400K .......... .......... .......... .......... .......... 62% 44.3M 0s
[2024-12-06T20:34:25.642+0000] {subprocess.py:106} INFO -   6450K .......... .......... .......... .......... .......... 62% 57.5M 0s
[2024-12-06T20:34:25.649+0000] {subprocess.py:106} INFO -   6500K .......... .......... .......... .......... .......... 63% 29.0M 0s
[2024-12-06T20:34:25.651+0000] {subprocess.py:106} INFO -   6550K .......... .......... .......... .......... .......... 63% 19.1M 0s
[2024-12-06T20:34:25.656+0000] {subprocess.py:106} INFO -   6600K .......... .......... .......... .......... .......... 63% 59.4M 0s
[2024-12-06T20:34:25.658+0000] {subprocess.py:106} INFO -   6650K .......... .......... .......... .......... .......... 64% 36.0M 0s
[2024-12-06T20:34:25.658+0000] {subprocess.py:106} INFO -   6700K .......... .......... .......... .......... .......... 64% 40.0M 0s
[2024-12-06T20:34:25.664+0000] {subprocess.py:106} INFO -   6750K .......... .......... .......... .......... .......... 65% 15.9M 0s
[2024-12-06T20:34:25.674+0000] {subprocess.py:106} INFO -   6800K .......... .......... .......... .......... .......... 65% 2.11M 0s
[2024-12-06T20:34:25.678+0000] {subprocess.py:106} INFO -   6850K .......... .......... .......... .......... .......... 66% 27.4M 0s
[2024-12-06T20:34:25.681+0000] {subprocess.py:106} INFO -   6900K .......... .......... .......... .......... .......... 66% 7.16M 0s
[2024-12-06T20:34:25.684+0000] {subprocess.py:106} INFO -   6950K .......... .......... .......... .......... .......... 67% 15.7M 0s
[2024-12-06T20:34:25.687+0000] {subprocess.py:106} INFO -   7000K .......... .......... .......... .......... .......... 67% 23.0M 0s
[2024-12-06T20:34:25.690+0000] {subprocess.py:106} INFO -   7050K .......... .......... .......... .......... .......... 68% 17.5M 0s
[2024-12-06T20:34:25.694+0000] {subprocess.py:106} INFO -   7100K .......... .......... .......... .......... .......... 68% 13.7M 0s
[2024-12-06T20:34:25.696+0000] {subprocess.py:106} INFO -   7150K .......... .......... .......... .......... .......... 69% 16.2M 0s
[2024-12-06T20:34:25.700+0000] {subprocess.py:106} INFO -   7200K .......... .......... .......... .......... .......... 69%  212M 0s
[2024-12-06T20:34:25.701+0000] {subprocess.py:106} INFO -   7250K .......... .......... .......... .......... .......... 70%  265M 0s
[2024-12-06T20:34:25.704+0000] {subprocess.py:106} INFO -   7300K .......... .......... .......... .......... .......... 70% 29.4M 0s
[2024-12-06T20:34:25.706+0000] {subprocess.py:106} INFO -   7350K .......... .......... .......... .......... .......... 71% 32.9M 0s
[2024-12-06T20:34:25.707+0000] {subprocess.py:106} INFO -   7400K .......... .......... .......... .......... .......... 71%  112M 0s
[2024-12-06T20:34:25.708+0000] {subprocess.py:106} INFO -   7450K .......... .......... .......... .......... .......... 72% 14.6M 0s
[2024-12-06T20:34:25.710+0000] {subprocess.py:106} INFO -   7500K .......... .......... .......... .......... .......... 72% 13.3M 0s
[2024-12-06T20:34:25.713+0000] {subprocess.py:106} INFO -   7550K .......... .......... .......... .......... .......... 73% 52.3M 0s
[2024-12-06T20:34:25.718+0000] {subprocess.py:106} INFO -   7600K .......... .......... .......... .......... .......... 73% 32.3M 0s
[2024-12-06T20:34:25.722+0000] {subprocess.py:106} INFO -   7650K .......... .......... .......... .......... .......... 74% 34.1M 0s
[2024-12-06T20:34:25.725+0000] {subprocess.py:106} INFO -   7700K .......... .......... .......... .......... .......... 74%  194M 0s
[2024-12-06T20:34:25.727+0000] {subprocess.py:106} INFO -   7750K .......... .......... .......... .......... .......... 75% 14.3M 0s
[2024-12-06T20:34:25.729+0000] {subprocess.py:106} INFO -   7800K .......... .......... .......... .......... .......... 75%  177M 0s
[2024-12-06T20:34:25.734+0000] {subprocess.py:106} INFO -   7850K .......... .......... .......... .......... .......... 75% 18.2M 0s
[2024-12-06T20:34:25.737+0000] {subprocess.py:106} INFO -   7900K .......... .......... .......... .......... .......... 76% 8.53M 0s
[2024-12-06T20:34:25.741+0000] {subprocess.py:106} INFO -   7950K .......... .......... .......... .......... .......... 76% 10.9M 0s
[2024-12-06T20:34:25.746+0000] {subprocess.py:106} INFO -   8000K .......... .......... .......... .......... .......... 77% 5.82M 0s
[2024-12-06T20:34:25.749+0000] {subprocess.py:106} INFO -   8050K .......... .......... .......... .......... .......... 77% 13.5M 0s
[2024-12-06T20:34:25.749+0000] {subprocess.py:106} INFO -   8100K .......... .......... .......... .......... .......... 78%  180M 0s
[2024-12-06T20:34:25.750+0000] {subprocess.py:106} INFO -   8150K .......... .......... .......... .......... .......... 78% 15.3M 0s
[2024-12-06T20:34:25.750+0000] {subprocess.py:106} INFO -   8200K .......... .......... .......... .......... .......... 79% 21.7M 0s
[2024-12-06T20:34:25.752+0000] {subprocess.py:106} INFO -   8250K .......... .......... .......... .......... .......... 79% 23.6M 0s
[2024-12-06T20:34:25.755+0000] {subprocess.py:106} INFO -   8300K .......... .......... .......... .......... .......... 80% 35.0M 0s
[2024-12-06T20:34:25.756+0000] {subprocess.py:106} INFO -   8350K .......... .......... .......... .......... .......... 80% 28.8M 0s
[2024-12-06T20:34:25.756+0000] {subprocess.py:106} INFO -   8400K .......... .......... .......... .......... .......... 81% 98.6M 0s
[2024-12-06T20:34:25.757+0000] {subprocess.py:106} INFO -   8450K .......... .......... .......... .......... .......... 81%  135M 0s
[2024-12-06T20:34:25.757+0000] {subprocess.py:106} INFO -   8500K .......... .......... .......... .......... .......... 82% 85.2M 0s
[2024-12-06T20:34:25.758+0000] {subprocess.py:106} INFO -   8550K .......... .......... .......... .......... .......... 82% 98.0M 0s
[2024-12-06T20:34:25.758+0000] {subprocess.py:106} INFO -   8600K .......... .......... .......... .......... .......... 83% 29.5M 0s
[2024-12-06T20:34:25.759+0000] {subprocess.py:106} INFO -   8650K .......... .......... .......... .......... .......... 83%  273M 0s
[2024-12-06T20:34:25.761+0000] {subprocess.py:106} INFO -   8700K .......... .......... .......... .......... .......... 84%  261M 0s
[2024-12-06T20:34:25.762+0000] {subprocess.py:106} INFO -   8750K .......... .......... .......... .......... .......... 84% 63.3M 0s
[2024-12-06T20:34:25.762+0000] {subprocess.py:106} INFO -   8800K .......... .......... .......... .......... .......... 85%  273M 0s
[2024-12-06T20:34:25.763+0000] {subprocess.py:106} INFO -   8850K .......... .......... .......... .......... .......... 85%  290M 0s
[2024-12-06T20:34:25.764+0000] {subprocess.py:106} INFO -   8900K .......... .......... .......... .......... .......... 86% 55.9M 0s
