[2024-12-06T20:34:22.452+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T20:34:22.529+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: homework_dag.download_dataset scheduled__2021-04-05T06:00:00+00:00 [queued]>
[2024-12-06T20:34:22.553+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: homework_dag.download_dataset scheduled__2021-04-05T06:00:00+00:00 [queued]>
[2024-12-06T20:34:22.557+0000] {taskinstance.py:2866} INFO - Starting attempt 6 of 6
[2024-12-06T20:34:22.665+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): download_dataset> on 2021-04-05 06:00:00+00:00
[2024-12-06T20:34:22.806+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=4446) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T20:34:22.877+0000] {standard_task_runner.py:72} INFO - Started process 4448 to run task
[2024-12-06T20:34:22.815+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'homework_dag', 'download_dataset', 'scheduled__2021-04-05T06:00:00+00:00', '--job-id', '121', '--raw', '--subdir', 'DAGS_FOLDER/homework_dag.py', '--cfg-path', '/tmp/tmpcvgx3n14']
[2024-12-06T20:34:22.885+0000] {standard_task_runner.py:105} INFO - Job 121: Subtask download_dataset
[2024-12-06T20:34:24.296+0000] {task_command.py:467} INFO - Running <TaskInstance: homework_dag.download_dataset scheduled__2021-04-05T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T20:34:25.031+0000] {subprocess.py:106} INFO - Saving to: ‘/opt/***/fhv_tripdata_2021-04.parquet’
[2024-12-06T20:34:25.031+0000] {subprocess.py:106} INFO - 
[2024-12-06T20:34:25.090+0000] {subprocess.py:106} INFO -      0K .......... .......... .......... .......... ..........  0%  834K 15s
[2024-12-06T20:34:25.148+0000] {subprocess.py:106} INFO -     50K .......... .......... .......... .......... ..........  0%  854K 15s
[2024-12-06T20:34:25.203+0000] {subprocess.py:106} INFO -    100K .......... .......... .......... .......... ..........  1%  906K 14s
[2024-12-06T20:34:25.207+0000] {subprocess.py:106} INFO -    150K .......... .......... .......... .......... ..........  1% 12.9M 11s
[2024-12-06T20:34:25.214+0000] {subprocess.py:106} INFO -    200K .......... .......... .......... .......... ..........  1% 10.7M 9s
[2024-12-06T20:34:25.216+0000] {subprocess.py:106} INFO -    250K .......... .......... .......... .......... ..........  2% 14.1M 8s
[2024-12-06T20:34:25.263+0000] {subprocess.py:106} INFO -    300K .......... .......... .......... .......... ..........  2% 1.03M 8s
[2024-12-06T20:34:25.264+0000] {subprocess.py:106} INFO -    350K .......... .......... .......... .......... ..........  3% 27.3M 7s
[2024-12-06T20:34:25.265+0000] {subprocess.py:106} INFO -    400K .......... .......... .......... .......... ..........  3% 46.0M 6s
[2024-12-06T20:34:25.267+0000] {subprocess.py:106} INFO -    450K .......... .......... .......... .......... ..........  3% 37.5M 6s
[2024-12-06T20:34:25.269+0000] {subprocess.py:106} INFO -    500K .......... .......... .......... .......... ..........  4% 25.0M 5s
[2024-12-06T20:34:25.294+0000] {subprocess.py:106} INFO -    550K .......... .......... .......... .......... ..........  4% 2.43M 5s
[2024-12-06T20:34:25.317+0000] {subprocess.py:106} INFO -    600K .......... .......... .......... .......... ..........  5% 1.75M 5s
[2024-12-06T20:34:25.320+0000] {subprocess.py:106} INFO -    650K .......... .......... .......... .......... ..........  5% 15.6M 5s
[2024-12-06T20:34:25.322+0000] {subprocess.py:106} INFO -    700K .......... .......... .......... .......... ..........  5% 53.2M 5s
[2024-12-06T20:34:25.322+0000] {subprocess.py:106} INFO -    750K .......... .......... .......... .......... ..........  6% 43.3M 4s
[2024-12-06T20:34:25.323+0000] {subprocess.py:106} INFO -    800K .......... .......... .......... .......... ..........  6%  153M 4s
[2024-12-06T20:34:25.324+0000] {subprocess.py:106} INFO -    850K .......... .......... .......... .......... ..........  7% 57.5M 4s
[2024-12-06T20:34:25.324+0000] {subprocess.py:106} INFO -    900K .......... .......... .......... .......... ..........  7% 64.9M 4s
[2024-12-06T20:34:25.327+0000] {subprocess.py:106} INFO -    950K .......... .......... .......... .......... ..........  7% 40.5M 3s
[2024-12-06T20:34:25.338+0000] {subprocess.py:106} INFO -   1000K .......... .......... .......... .......... ..........  8% 31.0M 3s
[2024-12-06T20:34:25.340+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  8% 3.67M 3s
[2024-12-06T20:34:25.342+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  9% 20.8M 3s
[2024-12-06T20:34:25.351+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  9% 17.5M 3s
[2024-12-06T20:34:25.352+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  9% 9.08M 3s
[2024-12-06T20:34:25.352+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... .......... 10%  174M 3s
[2024-12-06T20:34:25.378+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... .......... 10% 1.78M 3s
[2024-12-06T20:34:25.380+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... .......... 11%  132M 3s
[2024-12-06T20:34:25.382+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... .......... 11% 83.6M 3s
[2024-12-06T20:34:25.383+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... .......... 11% 82.5M 3s
[2024-12-06T20:34:25.383+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... .......... 12%  103M 2s
[2024-12-06T20:34:25.383+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... .......... 12%  106M 2s
[2024-12-06T20:34:25.384+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... .......... 13% 60.0M 2s
[2024-12-06T20:34:25.421+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... .......... 13% 1.35M 2s
[2024-12-06T20:34:25.431+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... .......... 13% 36.7M 2s
[2024-12-06T20:34:25.436+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... .......... 14%  283M 2s
[2024-12-06T20:34:25.440+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... .......... 14% 47.2M 2s
[2024-12-06T20:34:25.440+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... .......... 15% 27.2M 2s
[2024-12-06T20:34:25.441+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... .......... 15% 48.3M 2s
[2024-12-06T20:34:25.441+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... .......... 15% 69.3M 2s
[2024-12-06T20:34:25.442+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... .......... 16% 16.7M 2s
[2024-12-06T20:34:25.442+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... .......... 16% 31.8M 2s
[2024-12-06T20:34:25.442+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... .......... 17% 19.1M 2s
[2024-12-06T20:34:25.442+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... .......... 17% 72.8M 2s
[2024-12-06T20:34:25.443+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... .......... 17% 28.3M 2s
[2024-12-06T20:34:25.443+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... .......... 18% 42.3M 2s
[2024-12-06T20:34:25.444+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... .......... 18%  112M 2s
[2024-12-06T20:34:25.444+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... .......... 19%  162M 2s
[2024-12-06T20:34:25.444+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... .......... 19% 69.8M 2s
[2024-12-06T20:34:25.444+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... .......... 19%  199M 2s
[2024-12-06T20:34:25.445+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... .......... 20% 29.0M 2s
[2024-12-06T20:34:25.446+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... .......... 20% 79.6M 2s
[2024-12-06T20:34:25.447+0000] {subprocess.py:106} INFO -   2600K .......... .......... .......... .......... .......... 21% 49.0M 2s
[2024-12-06T20:34:25.448+0000] {subprocess.py:106} INFO -   2650K .......... .......... .......... .......... .......... 21% 51.4M 1s
[2024-12-06T20:34:25.448+0000] {subprocess.py:106} INFO -   2700K .......... .......... .......... .......... .......... 21%  249M 1s
[2024-12-06T20:34:25.468+0000] {subprocess.py:106} INFO -   2750K .......... .......... .......... .......... .......... 22% 1.81M 2s
[2024-12-06T20:34:25.474+0000] {subprocess.py:106} INFO -   2800K .......... .......... .......... .......... .......... 22% 7.11M 2s
[2024-12-06T20:34:25.482+0000] {subprocess.py:106} INFO -   2850K .......... .......... .......... .......... .......... 23% 7.44M 2s
[2024-12-06T20:34:25.483+0000] {subprocess.py:106} INFO -   2900K .......... .......... .......... .......... .......... 23% 52.7M 1s
[2024-12-06T20:34:25.493+0000] {subprocess.py:106} INFO -   2950K .......... .......... .......... .......... .......... 23% 4.28M 1s
[2024-12-06T20:34:25.497+0000] {subprocess.py:106} INFO -   3000K .......... .......... .......... .......... .......... 24% 58.3M 1s
[2024-12-06T20:34:25.498+0000] {subprocess.py:106} INFO -   3050K .......... .......... .......... .......... .......... 24% 77.3M 1s
[2024-12-06T20:34:25.500+0000] {subprocess.py:106} INFO -   3100K .......... .......... .......... .......... .......... 25%  137M 1s
[2024-12-06T20:34:25.500+0000] {subprocess.py:106} INFO -   3150K .......... .......... .......... .......... .......... 25%  247M 1s
[2024-12-06T20:34:25.501+0000] {subprocess.py:106} INFO -   3200K .......... .......... .......... .......... .......... 25%  128M 1s
[2024-12-06T20:34:25.515+0000] {subprocess.py:106} INFO -   3250K .......... .......... .......... .......... .......... 26%  223M 1s
[2024-12-06T20:34:25.515+0000] {subprocess.py:106} INFO -   3300K .......... .......... .......... .......... .......... 26%  147M 1s
[2024-12-06T20:34:25.516+0000] {subprocess.py:106} INFO -   3350K .......... .......... .......... .......... .......... 27%  128M 1s
[2024-12-06T20:34:25.516+0000] {subprocess.py:106} INFO -   3400K .......... .......... .......... .......... .......... 27%  171M 1s
[2024-12-06T20:34:25.516+0000] {subprocess.py:106} INFO -   3450K .......... .......... .......... .......... .......... 27%  188M 1s
[2024-12-06T20:34:25.517+0000] {subprocess.py:106} INFO -   3500K .......... .......... .......... .......... .......... 28%  182M 1s
[2024-12-06T20:34:25.517+0000] {subprocess.py:106} INFO -   3550K .......... .......... .......... .......... .......... 28%  176M 1s
[2024-12-06T20:34:25.517+0000] {subprocess.py:106} INFO -   3600K .......... .......... .......... .......... .......... 29%  210M 1s
[2024-12-06T20:34:25.518+0000] {subprocess.py:106} INFO -   3650K .......... .......... .......... .......... .......... 29%  265M 1s
[2024-12-06T20:34:25.518+0000] {subprocess.py:106} INFO -   3700K .......... .......... .......... .......... .......... 29%  213M 1s
[2024-12-06T20:34:25.518+0000] {subprocess.py:106} INFO -   3750K .......... .......... .......... .......... .......... 30%  252M 1s
[2024-12-06T20:34:25.518+0000] {subprocess.py:106} INFO -   3800K .......... .......... .......... .......... .......... 30% 3.97M 1s
[2024-12-06T20:34:25.519+0000] {subprocess.py:106} INFO -   3850K .......... .......... .......... .......... .......... 31%  131M 1s
[2024-12-06T20:34:25.519+0000] {subprocess.py:106} INFO -   3900K .......... .......... .......... .......... .......... 31%  300M 1s
[2024-12-06T20:34:25.519+0000] {subprocess.py:106} INFO -   3950K .......... .......... .......... .......... .......... 31%  199M 1s
[2024-12-06T20:34:25.519+0000] {subprocess.py:106} INFO -   4000K .......... .......... .......... .......... .......... 32%  115M 1s
[2024-12-06T20:34:25.519+0000] {subprocess.py:106} INFO -   4050K .......... .......... .......... .......... .......... 32%  116M 1s
[2024-12-06T20:34:25.520+0000] {subprocess.py:106} INFO -   4100K .......... .......... .......... .......... .......... 33%  212M 1s
[2024-12-06T20:34:25.520+0000] {subprocess.py:106} INFO -   4150K .......... .......... .......... .......... .......... 33% 88.3M 1s
[2024-12-06T20:34:25.520+0000] {subprocess.py:106} INFO -   4200K .......... .......... .......... .......... .......... 33%  156M 1s
[2024-12-06T20:34:25.520+0000] {subprocess.py:106} INFO -   4250K .......... .......... .......... .......... .......... 34% 62.5M 1s
[2024-12-06T20:34:25.521+0000] {subprocess.py:106} INFO -   4300K .......... .......... .......... .......... .......... 34% 64.5M 1s
[2024-12-06T20:34:25.521+0000] {subprocess.py:106} INFO -   4350K .......... .......... .......... .......... .......... 35%  259M 1s
[2024-12-06T20:34:25.521+0000] {subprocess.py:106} INFO -   4400K .......... .......... .......... .......... .......... 35%  215M 1s
[2024-12-06T20:34:25.521+0000] {subprocess.py:106} INFO -   4450K .......... .......... .......... .......... .......... 35%  268M 1s
[2024-12-06T20:34:25.522+0000] {subprocess.py:106} INFO -   4500K .......... .......... .......... .......... .......... 36%  262M 1s
[2024-12-06T20:34:25.555+0000] {subprocess.py:106} INFO -   4550K .......... .......... .......... .......... .......... 36% 1.32M 1s
[2024-12-06T20:34:25.556+0000] {subprocess.py:106} INFO -   4600K .......... .......... .......... .......... .......... 37% 80.7M 1s
[2024-12-06T20:34:25.557+0000] {subprocess.py:106} INFO -   4650K .......... .......... .......... .......... .......... 37% 98.8M 1s
[2024-12-06T20:34:25.569+0000] {subprocess.py:106} INFO -   4700K .......... .......... .......... .......... .......... 37% 78.6M 1s
[2024-12-06T20:34:25.574+0000] {subprocess.py:106} INFO -   4750K .......... .......... .......... .......... .......... 38%  256M 1s
[2024-12-06T20:34:25.576+0000] {subprocess.py:106} INFO -   4800K .......... .......... .......... .......... .......... 38% 43.8M 1s
[2024-12-06T20:34:25.577+0000] {subprocess.py:106} INFO -   4850K .......... .......... .......... .......... .......... 39%  179M 1s
[2024-12-06T20:34:25.578+0000] {subprocess.py:106} INFO -   4900K .......... .......... .......... .......... .......... 39%  237M 1s
[2024-12-06T20:34:25.579+0000] {subprocess.py:106} INFO -   4950K .......... .......... .......... .......... .......... 39%  280M 1s
[2024-12-06T20:34:25.579+0000] {subprocess.py:106} INFO -   5000K .......... .......... .......... .......... .......... 40%  272M 1s
[2024-12-06T20:34:25.580+0000] {subprocess.py:106} INFO -   5050K .......... .......... .......... .......... .......... 40%  272M 1s
[2024-12-06T20:34:25.580+0000] {subprocess.py:106} INFO -   5100K .......... .......... .......... .......... .......... 41% 89.8M 1s
[2024-12-06T20:34:25.580+0000] {subprocess.py:106} INFO -   5150K .......... .......... .......... .......... .......... 41% 14.5M 1s
[2024-12-06T20:34:25.582+0000] {subprocess.py:106} INFO -   5200K .......... .......... .......... .......... .......... 41%  173M 1s
[2024-12-06T20:34:25.583+0000] {subprocess.py:106} INFO -   5250K .......... .......... .......... .......... .......... 42%  153M 1s
[2024-12-06T20:34:25.584+0000] {subprocess.py:106} INFO -   5300K .......... .......... .......... .......... .......... 42%  300M 1s
[2024-12-06T20:34:25.584+0000] {subprocess.py:106} INFO -   5350K .......... .......... .......... .......... .......... 43% 93.1M 1s
[2024-12-06T20:34:25.585+0000] {subprocess.py:106} INFO -   5400K .......... .......... .......... .......... .......... 43%  168M 1s
[2024-12-06T20:34:25.585+0000] {subprocess.py:106} INFO -   5450K .......... .......... .......... .......... .......... 43%  184M 1s
[2024-12-06T20:34:25.585+0000] {subprocess.py:106} INFO -   5500K .......... .......... .......... .......... .......... 44%  241M 1s
[2024-12-06T20:34:25.586+0000] {subprocess.py:106} INFO -   5550K .......... .......... .......... .......... .......... 44%  209M 1s
[2024-12-06T20:34:25.586+0000] {subprocess.py:106} INFO -   5600K .......... .......... .......... .......... .......... 44%  242M 1s
[2024-12-06T20:34:25.586+0000] {subprocess.py:106} INFO -   5650K .......... .......... .......... .......... .......... 45%  258M 1s
[2024-12-06T20:34:25.591+0000] {subprocess.py:106} INFO -   5700K .......... .......... .......... .......... .......... 45%  242M 1s
[2024-12-06T20:34:25.591+0000] {subprocess.py:106} INFO -   5750K .......... .......... .......... .......... .......... 46%  243M 1s
[2024-12-06T20:34:25.591+0000] {subprocess.py:106} INFO -   5800K .......... .......... .......... .......... .......... 46%  130M 1s
[2024-12-06T20:34:25.592+0000] {subprocess.py:106} INFO -   5850K .......... .......... .......... .......... .......... 46%  167M 1s
[2024-12-06T20:34:25.592+0000] {subprocess.py:106} INFO -   5900K .......... .......... .......... .......... .......... 47%  251M 1s
[2024-12-06T20:34:25.592+0000] {subprocess.py:106} INFO -   5950K .......... .......... .......... .......... .......... 47%  190M 1s
[2024-12-06T20:34:25.592+0000] {subprocess.py:106} INFO -   6000K .......... .......... .......... .......... .......... 48%  177M 1s
[2024-12-06T20:34:25.593+0000] {subprocess.py:106} INFO -   6050K .......... .......... .......... .......... .......... 48%  139M 1s
[2024-12-06T20:34:25.593+0000] {subprocess.py:106} INFO -   6100K .......... .......... .......... .......... .......... 48% 77.2M 1s
[2024-12-06T20:34:25.593+0000] {subprocess.py:106} INFO -   6150K .......... .......... .......... .......... .......... 49% 57.7M 1s
[2024-12-06T20:34:25.593+0000] {subprocess.py:106} INFO -   6200K .......... .......... .......... .......... .......... 49% 49.6M 1s
[2024-12-06T20:34:25.593+0000] {subprocess.py:106} INFO -   6250K .......... .......... .......... .......... .......... 50% 89.4M 1s
[2024-12-06T20:34:25.594+0000] {subprocess.py:106} INFO -   6300K .......... .......... .......... .......... .......... 50% 48.2M 1s
[2024-12-06T20:34:25.594+0000] {subprocess.py:106} INFO -   6350K .......... .......... .......... .......... .......... 50% 50.1M 1s
[2024-12-06T20:34:25.597+0000] {subprocess.py:106} INFO -   6400K .......... .......... .......... .......... .......... 51% 6.40M 1s
[2024-12-06T20:34:25.597+0000] {subprocess.py:106} INFO -   6450K .......... .......... .......... .......... .......... 51%  222M 1s
[2024-12-06T20:34:25.597+0000] {subprocess.py:106} INFO -   6500K .......... .......... .......... .......... .......... 52%  251M 1s
[2024-12-06T20:34:25.598+0000] {subprocess.py:106} INFO -   6550K .......... .......... .......... .......... .......... 52%  219M 0s
[2024-12-06T20:34:25.598+0000] {subprocess.py:106} INFO -   6600K .......... .......... .......... .......... .......... 52%  245M 0s
[2024-12-06T20:34:25.600+0000] {subprocess.py:106} INFO -   6650K .......... .......... .......... .......... .......... 53% 2.33M 0s
[2024-12-06T20:34:25.602+0000] {subprocess.py:106} INFO -   6700K .......... .......... .......... .......... .......... 53% 70.4M 0s
[2024-12-06T20:34:25.602+0000] {subprocess.py:106} INFO -   6750K .......... .......... .......... .......... .......... 54%  108M 0s
[2024-12-06T20:34:25.602+0000] {subprocess.py:106} INFO -   6800K .......... .......... .......... .......... .......... 54%  146M 0s
[2024-12-06T20:34:25.603+0000] {subprocess.py:106} INFO -   6850K .......... .......... .......... .......... .......... 54%  204M 0s
[2024-12-06T20:34:25.603+0000] {subprocess.py:106} INFO -   6900K .......... .......... .......... .......... .......... 55%  231M 0s
[2024-12-06T20:34:25.603+0000] {subprocess.py:106} INFO -   6950K .......... .......... .......... .......... .......... 55%  225M 0s
[2024-12-06T20:34:25.604+0000] {subprocess.py:106} INFO -   7000K .......... .......... .......... .......... .......... 56%  292M 0s
[2024-12-06T20:34:25.604+0000] {subprocess.py:106} INFO -   7050K .......... .......... .......... .......... .......... 56%  280M 0s
[2024-12-06T20:34:25.604+0000] {subprocess.py:106} INFO -   7100K .......... .......... .......... .......... .......... 56%  282M 0s
[2024-12-06T20:34:25.632+0000] {subprocess.py:106} INFO -   7150K .......... .......... .......... .......... .......... 57% 1.71M 0s
[2024-12-06T20:34:25.638+0000] {subprocess.py:106} INFO -   7200K .......... .......... .......... .......... .......... 57% 25.1M 0s
[2024-12-06T20:34:25.644+0000] {subprocess.py:106} INFO -   7250K .......... .......... .......... .......... .......... 58% 39.9M 0s
[2024-12-06T20:34:25.662+0000] {subprocess.py:106} INFO -   7300K .......... .......... .......... .......... .......... 58%  244M 0s
[2024-12-06T20:34:25.666+0000] {subprocess.py:106} INFO -   7350K .......... .......... .......... .......... .......... 58%  357M 0s
[2024-12-06T20:34:25.678+0000] {subprocess.py:106} INFO -   7400K .......... .......... .......... .......... .......... 59% 70.0M 0s
[2024-12-06T20:34:25.680+0000] {subprocess.py:106} INFO -   7450K .......... .......... .......... .......... .......... 59% 52.7M 0s
[2024-12-06T20:34:25.684+0000] {subprocess.py:106} INFO -   7500K .......... .......... .......... .......... .......... 60%  320M 0s
[2024-12-06T20:34:25.686+0000] {subprocess.py:106} INFO -   7550K .......... .......... .......... .......... .......... 60%  309M 0s
[2024-12-06T20:34:25.687+0000] {subprocess.py:106} INFO -   7600K .......... .......... .......... .......... .......... 60% 39.6M 0s
[2024-12-06T20:34:25.691+0000] {subprocess.py:106} INFO -   7650K .......... .......... .......... .......... .......... 61% 33.6M 0s
[2024-12-06T20:34:25.697+0000] {subprocess.py:106} INFO -   7700K .......... .......... .......... .......... .......... 61% 57.1M 0s
[2024-12-06T20:34:25.703+0000] {subprocess.py:106} INFO -   7750K .......... .......... .......... .......... .......... 62% 9.62M 0s
[2024-12-06T20:34:25.706+0000] {subprocess.py:106} INFO -   7800K .......... .......... .......... .......... .......... 62% 19.6M 0s
[2024-12-06T20:34:25.711+0000] {subprocess.py:106} INFO -   7850K .......... .......... .......... .......... .......... 62% 27.3M 0s
[2024-12-06T20:34:25.714+0000] {subprocess.py:106} INFO -   7900K .......... .......... .......... .......... .......... 63% 22.1M 0s
[2024-12-06T20:34:25.724+0000] {subprocess.py:106} INFO -   7950K .......... .......... .......... .......... .......... 63% 32.7M 0s
[2024-12-06T20:34:25.725+0000] {subprocess.py:106} INFO -   8000K .......... .......... .......... .......... .......... 64% 37.1M 0s
[2024-12-06T20:34:25.727+0000] {subprocess.py:106} INFO -   8050K .......... .......... .......... .......... .......... 64% 6.50M 0s
[2024-12-06T20:34:25.734+0000] {subprocess.py:106} INFO -   8100K .......... .......... .......... .......... .......... 64% 11.5M 0s
[2024-12-06T20:34:25.737+0000] {subprocess.py:106} INFO -   8150K .......... .......... .......... .......... .......... 65% 35.4M 0s
[2024-12-06T20:34:25.741+0000] {subprocess.py:106} INFO -   8200K .......... .......... .......... .......... .......... 65% 5.69M 0s
[2024-12-06T20:34:25.746+0000] {subprocess.py:106} INFO -   8250K .......... .......... .......... .......... .......... 66%  133M 0s
[2024-12-06T20:34:25.758+0000] {subprocess.py:106} INFO -   8300K .......... .......... .......... .......... .......... 66%  123M 0s
[2024-12-06T20:34:25.765+0000] {subprocess.py:106} INFO -   8350K .......... .......... .......... .......... .......... 66% 20.9M 0s
[2024-12-06T20:34:25.767+0000] {subprocess.py:106} INFO -   8400K .......... .......... .......... .......... .......... 67%  278M 0s
[2024-12-06T20:34:25.770+0000] {subprocess.py:106} INFO -   8450K .......... .......... .......... .......... .......... 67%  273M 0s
[2024-12-06T20:34:25.773+0000] {subprocess.py:106} INFO -   8500K .......... .......... .......... .......... .......... 68% 27.5M 0s
[2024-12-06T20:34:25.774+0000] {subprocess.py:106} INFO -   8550K .......... .......... .......... .......... .......... 68% 9.51M 0s
[2024-12-06T20:34:25.775+0000] {subprocess.py:106} INFO -   8600K .......... .......... .......... .......... .......... 68% 8.76M 0s
[2024-12-06T20:34:25.776+0000] {subprocess.py:106} INFO -   8650K .......... .......... .......... .......... .......... 69% 52.0M 0s
[2024-12-06T20:34:25.777+0000] {subprocess.py:106} INFO -   8700K .......... .......... .......... .......... .......... 69% 18.8M 0s
[2024-12-06T20:34:25.778+0000] {subprocess.py:106} INFO -   8750K .......... .......... .......... .......... .......... 70% 32.0M 0s
[2024-12-06T20:34:25.778+0000] {subprocess.py:106} INFO -   8800K .......... .......... .......... .......... .......... 70% 95.5M 0s
[2024-12-06T20:34:25.779+0000] {subprocess.py:106} INFO -   8850K .......... .......... .......... .......... .......... 70%  254M 0s
[2024-12-06T20:34:25.781+0000] {subprocess.py:106} INFO -   8900K .......... .......... .......... .......... .......... 71% 46.2M 0s
