[2024-12-06T17:52:46.426+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T17:52:46.435+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2024-08-02T06:00:00+00:00 [queued]>
[2024-12-06T17:52:46.439+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2024-08-02T06:00:00+00:00 [queued]>
[2024-12-06T17:52:46.439+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-06T17:52:46.445+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2024-08-02 06:00:00+00:00
[2024-12-06T17:52:46.449+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=2460) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T17:52:46.450+0000] {standard_task_runner.py:72} INFO - Started process 2461 to run task
[2024-12-06T17:52:46.450+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2024-08-02T06:00:00+00:00', '--job-id', '64', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpjodmkcm5']
[2024-12-06T17:52:46.452+0000] {standard_task_runner.py:105} INFO - Job 64: Subtask wget
[2024-12-06T17:52:46.729+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2024-08-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T17:52:47.718+0000] {subprocess.py:106} INFO - Saving to: ‘/opt/***/output_2024-08.parquet’
[2024-12-06T17:52:47.719+0000] {subprocess.py:106} INFO - 
[2024-12-06T17:52:47.836+0000] {subprocess.py:106} INFO -      0K .......... .......... .......... .......... ..........  0%  740K 67s
[2024-12-06T17:52:47.847+0000] {subprocess.py:106} INFO -     50K .......... .......... .......... .......... ..........  0%  783K 65s
[2024-12-06T17:52:47.894+0000] {subprocess.py:106} INFO -    100K .......... .......... .......... .......... ..........  0% 1.05M 59s
[2024-12-06T17:52:47.910+0000] {subprocess.py:106} INFO -    150K .......... .......... .......... .......... ..........  0% 3.05M 48s
[2024-12-06T17:52:47.920+0000] {subprocess.py:106} INFO -    200K .......... .......... .......... .......... ..........  0% 4.86M 41s
[2024-12-06T17:52:47.935+0000] {subprocess.py:106} INFO -    250K .......... .......... .......... .......... ..........  0% 3.32M 36s
[2024-12-06T17:52:47.958+0000] {subprocess.py:106} INFO -    300K .......... .......... .......... .......... ..........  0% 2.07M 34s
[2024-12-06T17:52:47.965+0000] {subprocess.py:106} INFO -    350K .......... .......... .......... .......... ..........  0% 7.41M 31s
[2024-12-06T17:52:47.971+0000] {subprocess.py:106} INFO -    400K .......... .......... .......... .......... ..........  0% 8.04M 28s
[2024-12-06T17:52:47.976+0000] {subprocess.py:106} INFO -    450K .......... .......... .......... .......... ..........  1% 9.60M 26s
[2024-12-06T17:52:47.981+0000] {subprocess.py:106} INFO -    500K .......... .......... .......... .......... ..........  1% 8.74M 24s
[2024-12-06T17:52:47.990+0000] {subprocess.py:106} INFO -    550K .......... .......... .......... .......... ..........  1% 5.52M 23s
[2024-12-06T17:52:48.009+0000] {subprocess.py:106} INFO -    600K .......... .......... .......... .......... ..........  1% 2.66M 22s
[2024-12-06T17:52:48.013+0000] {subprocess.py:106} INFO -    650K .......... .......... .......... .......... ..........  1% 11.2M 21s
[2024-12-06T17:52:48.018+0000] {subprocess.py:106} INFO -    700K .......... .......... .......... .......... ..........  1% 10.5M 20s
[2024-12-06T17:52:48.021+0000] {subprocess.py:106} INFO -    750K .......... .......... .......... .......... ..........  1% 17.4M 19s
[2024-12-06T17:52:48.024+0000] {subprocess.py:106} INFO -    800K .......... .......... .......... .......... ..........  1% 18.3M 18s
[2024-12-06T17:52:48.032+0000] {subprocess.py:106} INFO -    850K .......... .......... .......... .......... ..........  1% 5.73M 17s
[2024-12-06T17:52:48.048+0000] {subprocess.py:106} INFO -    900K .......... .......... .......... .......... ..........  1% 3.05M 17s
[2024-12-06T17:52:48.050+0000] {subprocess.py:106} INFO -    950K .......... .......... .......... .......... ..........  2% 22.6M 16s
[2024-12-06T17:52:48.053+0000] {subprocess.py:106} INFO -   1000K .......... .......... .......... .......... ..........  2% 18.0M 16s
[2024-12-06T17:52:48.055+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  2% 18.0M 15s
[2024-12-06T17:52:48.057+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  2% 22.5M 14s
[2024-12-06T17:52:48.060+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  2% 17.0M 14s
[2024-12-06T17:52:48.062+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  2% 38.5M 13s
[2024-12-06T17:52:48.064+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  2% 16.9M 13s
[2024-12-06T17:52:48.067+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  2% 21.9M 13s
[2024-12-06T17:52:48.069+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  2% 20.7M 12s
[2024-12-06T17:52:48.071+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  2% 25.0M 12s
[2024-12-06T17:52:48.074+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  3% 16.2M 12s
[2024-12-06T17:52:48.077+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  3% 17.3M 11s
[2024-12-06T17:52:48.079+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  3% 23.7M 11s
[2024-12-06T17:52:48.081+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  3% 27.1M 11s
[2024-12-06T17:52:48.084+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  3% 15.5M 10s
[2024-12-06T17:52:48.086+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... ..........  3% 27.4M 10s
[2024-12-06T17:52:48.088+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... ..........  3% 21.1M 10s
[2024-12-06T17:52:48.090+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... ..........  3% 25.6M 10s
[2024-12-06T17:52:48.093+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... ..........  3% 18.1M 10s
[2024-12-06T17:52:48.094+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... ..........  3% 26.6M 9s
[2024-12-06T17:52:48.097+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... ..........  4% 21.1M 9s
[2024-12-06T17:52:48.098+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... ..........  4% 31.6M 9s
[2024-12-06T17:52:48.100+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... ..........  4% 25.9M 9s
[2024-12-06T17:52:48.101+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... ..........  4% 34.7M 9s
[2024-12-06T17:52:48.104+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... ..........  4% 25.6M 8s
[2024-12-06T17:52:48.105+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... ..........  4% 35.6M 8s
[2024-12-06T17:52:48.107+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... ..........  4% 25.9M 8s
[2024-12-06T17:52:48.109+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... ..........  4% 28.8M 8s
[2024-12-06T17:52:48.110+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... ..........  4% 37.6M 8s
[2024-12-06T17:52:48.111+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... ..........  4% 33.6M 8s
[2024-12-06T17:52:48.112+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... ..........  5% 36.5M 8s
[2024-12-06T17:52:48.114+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... ..........  5% 34.5M 7s
[2024-12-06T17:52:48.115+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... ..........  5% 32.1M 7s
[2024-12-06T17:52:48.124+0000] {subprocess.py:106} INFO -   2600K .......... .......... .......... .......... ..........  5% 5.68M 7s
[2024-12-06T17:52:48.125+0000] {subprocess.py:106} INFO -   2650K .......... .......... .......... .......... ..........  5% 43.7M 7s
[2024-12-06T17:52:48.126+0000] {subprocess.py:106} INFO -   2700K .......... .......... .......... .......... ..........  5% 58.5M 7s
[2024-12-06T17:52:48.127+0000] {subprocess.py:106} INFO -   2750K .......... .......... .......... .......... ..........  5% 52.8M 7s
[2024-12-06T17:52:48.128+0000] {subprocess.py:106} INFO -   2800K .......... .......... .......... .......... ..........  5% 31.5M 7s
[2024-12-06T17:52:48.129+0000] {subprocess.py:106} INFO -   2850K .......... .......... .......... .......... ..........  5% 72.9M 7s
[2024-12-06T17:52:48.130+0000] {subprocess.py:106} INFO -   2900K .......... .......... .......... .......... ..........  5% 56.4M 7s
[2024-12-06T17:52:48.131+0000] {subprocess.py:106} INFO -   2950K .......... .......... .......... .......... ..........  6% 53.8M 6s
[2024-12-06T17:52:48.132+0000] {subprocess.py:106} INFO -   3000K .......... .......... .......... .......... ..........  6% 82.0M 6s
[2024-12-06T17:52:48.133+0000] {subprocess.py:106} INFO -   3050K .......... .......... .......... .......... ..........  6% 51.8M 6s
[2024-12-06T17:52:48.133+0000] {subprocess.py:106} INFO -   3100K .......... .......... .......... .......... ..........  6% 45.6M 6s
[2024-12-06T17:52:48.134+0000] {subprocess.py:106} INFO -   3150K .......... .......... .......... .......... ..........  6% 53.1M 6s
[2024-12-06T17:52:48.136+0000] {subprocess.py:106} INFO -   3200K .......... .......... .......... .......... ..........  6% 65.6M 6s
[2024-12-06T17:52:48.136+0000] {subprocess.py:106} INFO -   3250K .......... .......... .......... .......... ..........  6% 63.6M 6s
[2024-12-06T17:52:48.137+0000] {subprocess.py:106} INFO -   3300K .......... .......... .......... .......... ..........  6% 76.7M 6s
[2024-12-06T17:52:48.138+0000] {subprocess.py:106} INFO -   3350K .......... .......... .......... .......... ..........  6% 52.9M 6s
[2024-12-06T17:52:48.139+0000] {subprocess.py:106} INFO -   3400K .......... .......... .......... .......... ..........  6% 68.7M 6s
[2024-12-06T17:52:48.139+0000] {subprocess.py:106} INFO -   3450K .......... .......... .......... .......... ..........  7% 59.8M 6s
[2024-12-06T17:52:48.140+0000] {subprocess.py:106} INFO -   3500K .......... .......... .......... .......... ..........  7% 82.3M 6s
[2024-12-06T17:52:48.141+0000] {subprocess.py:106} INFO -   3550K .......... .......... .......... .......... ..........  7% 58.6M 5s
[2024-12-06T17:52:48.142+0000] {subprocess.py:106} INFO -   3600K .......... .......... .......... .......... ..........  7% 44.0M 5s
[2024-12-06T17:52:48.143+0000] {subprocess.py:106} INFO -   3650K .......... .......... .......... .......... ..........  7% 50.6M 5s
[2024-12-06T17:52:48.144+0000] {subprocess.py:106} INFO -   3700K .......... .......... .......... .......... ..........  7% 80.7M 5s
[2024-12-06T17:52:48.144+0000] {subprocess.py:106} INFO -   3750K .......... .......... .......... .......... ..........  7%  131M 5s
[2024-12-06T17:52:48.145+0000] {subprocess.py:106} INFO -   3800K .......... .......... .......... .......... ..........  7% 51.6M 5s
[2024-12-06T17:52:48.146+0000] {subprocess.py:106} INFO -   3850K .......... .......... .......... .......... ..........  7% 56.2M 5s
[2024-12-06T17:52:48.147+0000] {subprocess.py:106} INFO -   3900K .......... .......... .......... .......... ..........  7% 63.4M 5s
[2024-12-06T17:52:48.149+0000] {subprocess.py:106} INFO -   3950K .......... .......... .......... .......... ..........  8% 86.7M 5s
[2024-12-06T17:52:48.150+0000] {subprocess.py:106} INFO -   4000K .......... .......... .......... .......... ..........  8% 41.0M 5s
[2024-12-06T17:52:48.150+0000] {subprocess.py:106} INFO -   4050K .......... .......... .......... .......... ..........  8%  148M 5s
[2024-12-06T17:52:48.151+0000] {subprocess.py:106} INFO -   4100K .......... .......... .......... .......... ..........  8% 73.2M 5s
[2024-12-06T17:52:48.152+0000] {subprocess.py:106} INFO -   4150K .......... .......... .......... .......... ..........  8% 55.5M 5s
[2024-12-06T17:52:48.153+0000] {subprocess.py:106} INFO -   4200K .......... .......... .......... .......... ..........  8% 65.0M 5s
[2024-12-06T17:52:48.154+0000] {subprocess.py:106} INFO -   4250K .......... .......... .......... .......... ..........  8% 90.8M 5s
[2024-12-06T17:52:48.154+0000] {subprocess.py:106} INFO -   4300K .......... .......... .......... .......... ..........  8% 55.5M 5s
[2024-12-06T17:52:48.155+0000] {subprocess.py:106} INFO -   4350K .......... .......... .......... .......... ..........  8% 81.0M 5s
[2024-12-06T17:52:48.155+0000] {subprocess.py:106} INFO -   4400K .......... .......... .......... .......... ..........  8% 53.6M 4s
[2024-12-06T17:52:48.156+0000] {subprocess.py:106} INFO -   4450K .......... .......... .......... .......... ..........  9%  119M 4s
[2024-12-06T17:52:48.156+0000] {subprocess.py:106} INFO -   4500K .......... .......... .......... .......... ..........  9%  109M 4s
[2024-12-06T17:52:48.157+0000] {subprocess.py:106} INFO -   4550K .......... .......... .......... .......... ..........  9% 57.6M 4s
[2024-12-06T17:52:48.157+0000] {subprocess.py:106} INFO -   4600K .......... .......... .......... .......... ..........  9% 65.2M 4s
[2024-12-06T17:52:48.158+0000] {subprocess.py:106} INFO -   4650K .......... .......... .......... .......... ..........  9% 68.3M 4s
[2024-12-06T17:52:48.158+0000] {subprocess.py:106} INFO -   4700K .......... .......... .......... .......... ..........  9% 71.3M 4s
[2024-12-06T17:52:48.159+0000] {subprocess.py:106} INFO -   4750K .......... .......... .......... .......... ..........  9%  110M 4s
[2024-12-06T17:52:48.159+0000] {subprocess.py:106} INFO -   4800K .......... .......... .......... .......... ..........  9% 56.0M 4s
[2024-12-06T17:52:48.161+0000] {subprocess.py:106} INFO -   4850K .......... .......... .......... .......... ..........  9% 79.8M 4s
[2024-12-06T17:52:48.161+0000] {subprocess.py:106} INFO -   4900K .......... .......... .......... .......... ..........  9% 73.6M 4s
[2024-12-06T17:52:48.163+0000] {subprocess.py:106} INFO -   4950K .......... .......... .......... .......... .......... 10% 60.8M 4s
[2024-12-06T17:52:48.163+0000] {subprocess.py:106} INFO -   5000K .......... .......... .......... .......... .......... 10%  113M 4s
[2024-12-06T17:52:48.163+0000] {subprocess.py:106} INFO -   5050K .......... .......... .......... .......... .......... 10% 41.4M 4s
[2024-12-06T17:52:48.164+0000] {subprocess.py:106} INFO -   5100K .......... .......... .......... .......... .......... 10% 97.1M 4s
[2024-12-06T17:52:48.164+0000] {subprocess.py:106} INFO -   5150K .......... .......... .......... .......... .......... 10%  116M 4s
[2024-12-06T17:52:48.169+0000] {subprocess.py:106} INFO -   5200K .......... .......... .......... .......... .......... 10% 7.97M 4s
[2024-12-06T17:52:48.182+0000] {subprocess.py:106} INFO -   5250K .......... .......... .......... .......... .......... 10%  132M 4s
[2024-12-06T17:52:48.186+0000] {subprocess.py:106} INFO -   5300K .......... .......... .......... .......... .......... 10% 3.75M 4s
[2024-12-06T17:52:48.189+0000] {subprocess.py:106} INFO -   5350K .......... .......... .......... .......... .......... 10%  136M 4s
[2024-12-06T17:52:48.192+0000] {subprocess.py:106} INFO -   5400K .......... .......... .......... .......... .......... 10% 55.7M 4s
[2024-12-06T17:52:48.193+0000] {subprocess.py:106} INFO -   5450K .......... .......... .......... .......... .......... 11%  177M 4s
[2024-12-06T17:52:48.193+0000] {subprocess.py:106} INFO -   5500K .......... .......... .......... .......... .......... 11%  113M 4s
[2024-12-06T17:52:48.193+0000] {subprocess.py:106} INFO -   5550K .......... .......... .......... .......... .......... 11% 97.3M 4s
[2024-12-06T17:52:48.194+0000] {subprocess.py:106} INFO -   5600K .......... .......... .......... .......... .......... 11% 67.2M 4s
[2024-12-06T17:52:48.194+0000] {subprocess.py:106} INFO -   5650K .......... .......... .......... .......... .......... 11%  159M 4s
[2024-12-06T17:52:48.194+0000] {subprocess.py:106} INFO -   5700K .......... .......... .......... .......... .......... 11%  136M 4s
[2024-12-06T17:52:48.194+0000] {subprocess.py:106} INFO -   5750K .......... .......... .......... .......... .......... 11% 84.2M 4s
[2024-12-06T17:52:48.195+0000] {subprocess.py:106} INFO -   5800K .......... .......... .......... .......... .......... 11%  102M 4s
[2024-12-06T17:52:48.195+0000] {subprocess.py:106} INFO -   5850K .......... .......... .......... .......... .......... 11% 98.3M 4s
[2024-12-06T17:52:48.195+0000] {subprocess.py:106} INFO -   5900K .......... .......... .......... .......... .......... 11%  158M 3s
[2024-12-06T17:52:48.195+0000] {subprocess.py:106} INFO -   5950K .......... .......... .......... .......... .......... 12%  198M 3s
[2024-12-06T17:52:48.196+0000] {subprocess.py:106} INFO -   6000K .......... .......... .......... .......... .......... 12%  120M 3s
[2024-12-06T17:52:48.196+0000] {subprocess.py:106} INFO -   6050K .......... .......... .......... .......... .......... 12% 83.3M 3s
[2024-12-06T17:52:48.196+0000] {subprocess.py:106} INFO -   6100K .......... .......... .......... .......... .......... 12% 91.8M 3s
[2024-12-06T17:52:48.196+0000] {subprocess.py:106} INFO -   6150K .......... .......... .......... .......... .......... 12%  160M 3s
[2024-12-06T17:52:48.196+0000] {subprocess.py:106} INFO -   6200K .......... .......... .......... .......... .......... 12% 97.7M 3s
[2024-12-06T17:52:48.197+0000] {subprocess.py:106} INFO -   6250K .......... .......... .......... .......... .......... 12%  136M 3s
[2024-12-06T17:52:48.197+0000] {subprocess.py:106} INFO -   6300K .......... .......... .......... .......... .......... 12%  116M 3s
[2024-12-06T17:52:48.197+0000] {subprocess.py:106} INFO -   6350K .......... .......... .......... .......... .......... 12%  140M 3s
[2024-12-06T17:52:48.197+0000] {subprocess.py:106} INFO -   6400K .......... .......... .......... .......... .......... 12%  110M 3s
[2024-12-06T17:52:48.236+0000] {subprocess.py:106} INFO -   6450K .......... .......... .......... .......... .......... 13% 1.21M 3s
[2024-12-06T17:52:48.236+0000] {subprocess.py:106} INFO -   6500K .......... .......... .......... .......... .......... 13% 87.8M 3s
[2024-12-06T17:52:48.237+0000] {subprocess.py:106} INFO -   6550K .......... .......... .......... .......... .......... 13%  187M 3s
[2024-12-06T17:52:48.241+0000] {subprocess.py:106} INFO -   6600K .......... .......... .......... .......... .......... 13% 40.0M 3s
[2024-12-06T17:52:48.242+0000] {subprocess.py:106} INFO -   6650K .......... .......... .......... .......... .......... 13%  190M 3s
[2024-12-06T17:52:48.242+0000] {subprocess.py:106} INFO -   6700K .......... .......... .......... .......... .......... 13%  210M 3s
[2024-12-06T17:52:48.243+0000] {subprocess.py:106} INFO -   6750K .......... .......... .......... .......... .......... 13%  133M 3s
[2024-12-06T17:52:48.243+0000] {subprocess.py:106} INFO -   6800K .......... .......... .......... .......... .......... 13%  237M 3s
[2024-12-06T17:52:48.245+0000] {subprocess.py:106} INFO -   6850K .......... .......... .......... .......... .......... 13% 78.9M 3s
[2024-12-06T17:52:48.247+0000] {subprocess.py:106} INFO -   6900K .......... .......... .......... .......... .......... 13%  111M 3s
[2024-12-06T17:52:48.247+0000] {subprocess.py:106} INFO -   6950K .......... .......... .......... .......... .......... 14%  169M 3s
[2024-12-06T17:52:48.247+0000] {subprocess.py:106} INFO -   7000K .......... .......... .......... .......... .......... 14%  141M 3s
[2024-12-06T17:52:48.248+0000] {subprocess.py:106} INFO -   7050K .......... .......... .......... .......... .......... 14%  147M 3s
[2024-12-06T17:52:48.249+0000] {subprocess.py:106} INFO -   7100K .......... .......... .......... .......... .......... 14%  102M 3s
[2024-12-06T17:52:48.249+0000] {subprocess.py:106} INFO -   7150K .......... .......... .......... .......... .......... 14%  208M 3s
[2024-12-06T17:52:48.251+0000] {subprocess.py:106} INFO -   7200K .......... .......... .......... .......... .......... 14%  133M 3s
[2024-12-06T17:52:48.253+0000] {subprocess.py:106} INFO -   7250K .......... .......... .......... .......... .......... 14% 64.5M 3s
[2024-12-06T17:52:48.254+0000] {subprocess.py:106} INFO -   7300K .......... .......... .......... .......... .......... 14% 62.3M 3s
[2024-12-06T17:52:48.254+0000] {subprocess.py:106} INFO -   7350K .......... .......... .......... .......... .......... 14%  118M 3s
[2024-12-06T17:52:48.254+0000] {subprocess.py:106} INFO -   7400K .......... .......... .......... .......... .......... 14%  140M 3s
[2024-12-06T17:52:48.255+0000] {subprocess.py:106} INFO -   7450K .......... .......... .......... .......... .......... 15%  146M 3s
[2024-12-06T17:52:48.255+0000] {subprocess.py:106} INFO -   7500K .......... .......... .......... .......... .......... 15%  112M 3s
[2024-12-06T17:52:48.255+0000] {subprocess.py:106} INFO -   7550K .......... .......... .......... .......... .......... 15% 78.4M 3s
[2024-12-06T17:52:48.255+0000] {subprocess.py:106} INFO -   7600K .......... .......... .......... .......... .......... 15% 61.7M 3s
[2024-12-06T17:52:48.255+0000] {subprocess.py:106} INFO -   7650K .......... .......... .......... .......... .......... 15% 81.3M 3s
[2024-12-06T17:52:48.255+0000] {subprocess.py:106} INFO -   7700K .......... .......... .......... .......... .......... 15% 19.4M 3s
[2024-12-06T17:52:48.255+0000] {subprocess.py:106} INFO -   7750K .......... .......... .......... .......... .......... 15% 24.5M 3s
[2024-12-06T17:52:48.256+0000] {subprocess.py:106} INFO -   7800K .......... .......... .......... .......... .......... 15% 43.7M 3s
[2024-12-06T17:52:48.256+0000] {subprocess.py:106} INFO -   7850K .......... .......... .......... .......... .......... 15%  158M 3s
[2024-12-06T17:52:48.256+0000] {subprocess.py:106} INFO -   7900K .......... .......... .......... .......... .......... 15%  175M 3s
[2024-12-06T17:52:48.256+0000] {subprocess.py:106} INFO -   7950K .......... .......... .......... .......... .......... 16% 69.2M 3s
[2024-12-06T17:52:48.256+0000] {subprocess.py:106} INFO -   8000K .......... .......... .......... .......... .......... 16% 88.5M 3s
[2024-12-06T17:52:48.256+0000] {subprocess.py:106} INFO -   8050K .......... .......... .......... .......... .......... 16% 66.9M 3s
[2024-12-06T17:52:48.256+0000] {subprocess.py:106} INFO -   8100K .......... .......... .......... .......... .......... 16%  132M 3s
[2024-12-06T17:52:48.257+0000] {subprocess.py:106} INFO -   8150K .......... .......... .......... .......... .......... 16% 25.4M 3s
[2024-12-06T17:52:48.257+0000] {subprocess.py:106} INFO -   8200K .......... .......... .......... .......... .......... 16%  122M 3s
[2024-12-06T17:52:48.292+0000] {subprocess.py:106} INFO -   8250K .......... .......... .......... .......... .......... 16% 1.34M 3s
[2024-12-06T17:52:48.294+0000] {subprocess.py:106} INFO -   8300K .......... .......... .......... .......... .......... 16% 95.2M 3s
[2024-12-06T17:52:48.294+0000] {subprocess.py:106} INFO -   8350K .......... .......... .......... .......... .......... 16%  113M 3s
[2024-12-06T17:52:48.295+0000] {subprocess.py:106} INFO -   8400K .......... .......... .......... .......... .......... 16%  124M 3s
[2024-12-06T17:52:48.295+0000] {subprocess.py:106} INFO -   8450K .......... .......... .......... .......... .......... 17%  141M 3s
[2024-12-06T17:52:48.295+0000] {subprocess.py:106} INFO -   8500K .......... .......... .......... .......... .......... 17%  114M 3s
[2024-12-06T17:52:48.295+0000] {subprocess.py:106} INFO -   8550K .......... .......... .......... .......... .......... 17% 86.2M 3s
[2024-12-06T17:52:48.296+0000] {subprocess.py:106} INFO -   8600K .......... .......... .......... .......... .......... 17%  153M 3s
[2024-12-06T17:52:48.296+0000] {subprocess.py:106} INFO -   8650K .......... .......... .......... .......... .......... 17% 68.8M 3s
[2024-12-06T17:52:48.296+0000] {subprocess.py:106} INFO -   8700K .......... .......... .......... .......... .......... 17%  144M 3s
[2024-12-06T17:52:48.296+0000] {subprocess.py:106} INFO -   8750K .......... .......... .......... .......... .......... 17%  175M 3s
[2024-12-06T17:52:48.296+0000] {subprocess.py:106} INFO -   8800K .......... .......... .......... .......... .......... 17%  229M 3s
[2024-12-06T17:52:48.297+0000] {subprocess.py:106} INFO -   8850K .......... .......... .......... .......... .......... 17%  222M 3s
